"make","price","mileage","year","location","doors","color","model"
"Ford",38000,"94000 ",2013,"Mohammed Bin Zayed City, Abu Dhabi",5,"Silver","Escape"
"Mazda",15000,"238000 ",2010,"Abu Dhabi",4,"Blue","3"
"Mitsubishi",45000,"115000 ",2014,"Abu Dhabi",5,"Gold","Pajero"
"Infiniti",55000,"95000 ",2015,"Abu Dhabi",5,"White","Q50"
"Mercedes-Benz",180000,"22000 ",2020,"Al Bateen, Abu Dhabi",4,"White","C-Class"
"GMC",115000,"209000 ",2015,"Abu Dhabi",4,"Black","Yukon"
"Porsche",78000,"165000 ",2010,"Al Reem Island, Abu Dhabi",2,"Silver","Boxster"
"Mercedes-Benz",35000,"228000 ",2007,"Zayed City (Khalifa City C), Abu Dhabi",3,"Silver","CL-Class"
"Hyundai",39500,"171 ",2016,"Abu Dhabi",5,"Black","Creta"
"Lexus",260000,"161000 ",2017,"Al Shawamekh, Abu Dhabi",4,"Black","LX-Series"
"Porsche",280000,"114000 ",1997,"Al Shawamekh, Abu Dhabi",2,"White","Carrera / 911"
"Mercedes-Benz",70000,"75000 ",2016,"Zayed City (Khalifa City C), Abu Dhabi",4,"White","CLA"
"Mazda",34000,"96385 ",2011,"Mohammed Bin Zayed City, Abu Dhabi",2,"Black","MX-5"
"Audi",38500,"200000 ",2013,"Al Khalidiyah, Abu Dhabi",4,"Black","A4"
"Dodge",172000,"56000 ",2019,"Abu Dhabi",4,"Burgundy","Ram"
"Jaguar",45000,"157000 ",2013,"Abu Dhabi",4,"Black","XJ6"
"Mercedes-Benz",131000,"182000 ",2014,"Zayed City (Khalifa City C), Abu Dhabi",4,"White","500/560"
"BMW",190000,"55000 ",2020,"Khalifa City A, Abu Dhabi",4,"Grey","3-Series"
"Mercedes-Benz",278000,"72000 ",2019,"Rawdhat Abu Dhabi, Abu Dhabi",4,"Black","E-Class"
"Audi",22000,"250000 ",2011,"Abu Dhabi",4,"Black","A6"
"Ford",66000,"142000 ",2015,"Abu Dhabi",4,"White","Explorer"
"Honda",72500,"92000 ",2017,"Al Zahiyah, Abu Dhabi",4,"Grey","Pilot"
"Mercedes-Benz",29000,"162000 ",2010,"Al Wahdah, Abu Dhabi",4,"Black","C-Class"
"Infiniti",31999,"156000 ",2013,"Al Rawdah, Abu Dhabi",5,"Black","JX-Series"
"Lexus",55000,"140000 ",2014,"Al Shawamekh, Abu Dhabi",4,"Grey","IS-Series"
"Mercedes-Benz",90000,"99500 ",2012,"Abu Dhabi",4,"White","S-Class"
"Nissan",67000,"15000 ",2022,"Mohammed Bin Zayed City, Abu Dhabi",4,"White","Sunny"
"Hyundai",73000,"45000 ",2017,"Al Hosn, Abu Dhabi",5,"White","H1"
"Toyota",78000,"130000 ",2019,"Al Reem Island, Abu Dhabi",4,"White","Camry"
"Toyota",73000,"187000 ",2018,"Mohammed Bin Zayed City, Abu Dhabi",4,"Grey","Rav 4"
"Nissan",20000,"219000 ",2013,"Madinat Zayed, Abu Dhabi",4,"White","Altima"
"Subaru",80000,"30000 ",2017,"Al Bateen, Abu Dhabi",4,"Black","WRX"
"Jeep",174000,"11000 ",2021,"Al Zahiyah, Abu Dhabi",4,"Silver","Wrangler Unlimited"
"Nissan",28000,"171000 ",2011,"Abu Dhabi",5,"Black","Xterra"
"Honda",37500,"140800 ",2014,"Mohammed Bin Zayed City, Abu Dhabi",4,"White","Civic"
"Mercedes-Benz",580000,"55000 ",2021,"Abu Dhabi",4,"White","G-Class"
"Mercedes-Benz",143000,"149000 ",2014,"Al Shawamekh, Abu Dhabi",4,"White","S-Class"
"Toyota",44900,"19700 ",2019,"Mohammed Bin Zayed City, Abu Dhabi",4,"White","Yaris"
"Nissan",40000,"105000 ",2014,"Mohammed Bin Zayed City, Abu Dhabi",5,"White","Pathfinder"
"Honda",25900,"146000 ",2010,"Mohammed Bin Zayed City, Abu Dhabi",4,"Red","CR-V"
"Renault",14500,"146000 ",2016,"Al Shawamekh, Abu Dhabi",4,"White","Symbol"
"BMW",335000,"48000 ",2019,"Saadiyat Island, Abu Dhabi",5,"White","X7"
"BMW",435000,"2000 ",2022,"Al Mushrif, Abu Dhabi",4,"White","7-Series"
"MINI",149000,"300 ",2023,"Between Two Bridges (Bain Al Jessrain), Abu Dhabi",2,"Silver","Cooper"
"Infiniti",56000,"78000 ",2015,"Al Nahyan, Abu Dhabi",5,"White","QX50"
"BMW",87000,"139000 ",2014,"Al Dhafrah, Abu Dhabi",4,"Brown","X5"
"Toyota",418000,"0 ",2023,"Al Shawamekh, Abu Dhabi",4,"Black","Land Cruiser"
"Mercedes-Benz",118000,"250000 ",2014,"Al Shawamekh, Abu Dhabi",4,"White","S-Class"
"Mercedes-Benz",255000,"150000 ",2018,"Al Shawamekh, Abu Dhabi",4,"White","S-Class"
"Toyota",175000,"300000 ",2016,"Al Shawamekh, Abu Dhabi",4,"White","Land Cruiser"
"Nissan",85000,"150000 ",2020,"Al Shawamekh, Abu Dhabi",4,"White","Altima"
"Volkswagen",35000,"166000 ",2015,"Abu Dhabi",4,"Blue","Jetta"
"Dodge",33500,"239 ",2013,"Al Shahama, Abu Dhabi",4,"Black","Charger"
"Land Rover",137000,"180000 ",2015,"Al Shawamekh, Abu Dhabi",5,"White","Range Rover"
"Nissan",266700,"0 ",2022,"Al Shawamekh, Abu Dhabi",5,"Black","Patrol"
"Nissan",174300,"0 ",2022,"Al Shawamekh, Abu Dhabi",5,"White","Patrol"
"Nissan",343000,"0 ",2022,"Al Shawamekh, Abu Dhabi",5,"White","Patrol"
"Volkswagen",160000,"0 ",2022,"Al Shawamekh, Abu Dhabi",5,"White","ID.6"
"Nissan",293400,"0 ",2022,"Al Shawamekh, Abu Dhabi",5,"Black","Patrol"
"Toyota",121000,"0 ",2022,"Al Shawamekh, Abu Dhabi",4,"White","Camry"
"Nissan",247700,"0 ",2022,"Al Shawamekh, Abu Dhabi",5,"White","Patrol"
"Toyota",55000,"276000 ",2014,"Abu Dhabi Airport Freezone (ADAFZ), Abu Dhabi",5,"Grey","Fortuner"
"Toyota",116000,"0 ",2022,"Al Shawamekh, Abu Dhabi",4,"White","Hilux"
"Nissan",247700,"0 ",2022,"Al Shawamekh, Abu Dhabi",5,"Gold","Patrol"
"Toyota",20500,"236250 ",2010,"Zayed City (Khalifa City C), Abu Dhabi",4,"White","Corolla"
"Kia",33000,"202600 ",2017,"Mussafah, Abu Dhabi",2,"White","K3"
"Suzuki",27000,"114000 ",2018,"Al Shawamekh, Abu Dhabi",4,"Red","Dzire"
"Toyota",385000,"11000 ",2022,"Al Shawamekh, Abu Dhabi",4,"Black","Land Cruiser"
"Toyota",95000,"320000 ",2014,"Al Shawamekh, Abu Dhabi",5,"Gold","Land Cruiser"
"Peugeot",45000,"115000 ",2018,"Al Shawamekh, Abu Dhabi",3,"White","Expert"
"Toyota",94000,"368000 ",2014,"Al Shawamekh, Abu Dhabi",5,"White","Land Cruiser"
"Nissan",85000,"278000 ",2016,"Al Shawamekh, Abu Dhabi",4,"White","Patrol"
"Toyota",62000,"170000 ",2016,"Al Shawamekh, Abu Dhabi",4,"White","Rav 4"
"Nissan",129000,"149000 ",2018,"Al Shawamekh, Abu Dhabi",5,"Black","Patrol"
"Nissan",130000,"41000 ",2015,"Al Shawamekh, Abu Dhabi",5,"White","Patrol"
"Ford",249000,"43000 ",2020,"Al Shawamekh, Abu Dhabi",4,"Blue","F-Series Pickup"
"Toyota",80000,"190000 ",2013,"Al Shawamekh, Abu Dhabi",5,"White","Prado"
"Toyota",69000,"120000 ",2015,"Al Shawamekh, Abu Dhabi",5,"White","Fortuner"
"Toyota",89000,"9300 ",2021,"Al Shawamekh, Abu Dhabi",4,"White","Hilux"
"Mercedes-Benz",270000,"128000 ",2015,"Mussafah, Abu Dhabi",2,"White","GT"
"Mercedes-Benz",75000,"147000 ",2014,"Zayed City (Khalifa City C), Abu Dhabi",2,"Black","CL-Class"
"Land Rover",60000,"144000 ",2013,"Abu Dhabi",5,"White","Range Rover Evoque"
"Mercedes-Benz",74000,"259000 ",2015,"Al Shawamekh, Abu Dhabi",4,"Grey","C-Class"
"Lexus",70000,"107000 ",2015,"Mohammed Bin Zayed City, Abu Dhabi",4,"Silver","IS-Series"
"BMW",33500,"65159 ",2010,"Al Maryah Island, Abu Dhabi",4,"Silver","3-Series"
"Land Rover",670000,"0 ",2023,"Al Shawamekh, Abu Dhabi",4,"Gold","Range Rover"
"Nissan",305000,"30000 ",2021,"Al Shawamekh, Abu Dhabi",4,"Grey","Patrol"
"Mercedes-Benz",235000,"114000 ",2018,"Al Shawamekh, Abu Dhabi",4,"Grey","S-Class"
"Toyota",260000,"0 ",2022,"Al Shawamekh, Abu Dhabi",4,"Grey","Tundra"
"Cadillac",179000,"93900 ",2018,"Mussafah, Abu Dhabi",5,"Black","Escalade"
"Mercedes-Benz",19500,"277000 ",2007,"Abu Dhabi",4,"White","C-Class"
"Cadillac",180000,"115000 ",2018,"Zayed City (Khalifa City C), Abu Dhabi",5,"Grey","Escalade"
"BMW",154000,"95000 ",2018,"Al Shawamekh, Abu Dhabi",4,"White","5-Series"
"Land Rover",37500,"365500 ",2012,"Khalifa City A, Abu Dhabi",4,"White","Range Rover Sport"
"Mitsubishi",18000,"297800 ",2010,"Mohammed Bin Zayed City, Abu Dhabi",5,"Brown","Pajero"
"Porsche",56000,"229400 ",2010,"Abu Dhabi",2,"White","Cayman"
"Toyota",56000,"276895 ",2016,"Mussafah, Abu Dhabi",4,"White","Hiace"
"Audi",43000,"150250 ",2014,"Madinat Zayed, Abu Dhabi",4,"White","A6"
"Jeep",165000,"43000 ",2021,"Abu Dhabi",4,"Black","Wrangler Unlimited"
"Hyundai",42500,"73000 ",2019,"Abu Dhabi",4,"Black","Sonata"
"Volkswagen",32000,"152000 ",2012,"Al Falah Street, Abu Dhabi",2,"Grey","Eos"
"Hyundai",76800,"31000 ",2020,"Al Karamah, Abu Dhabi",5,"Silver","Tucson"
"Lexus",209000,"58000 ",2021,"Zayed City (Khalifa City C), Abu Dhabi",5,"Silver","GX-Series"
"Mercedes-Benz",113000,"37000 ",2019,"Al Reem Island, Abu Dhabi",4,"Black","C-Class"
"Audi",53000,"127000 ",2015,"Al Qurm, Abu Dhabi",4,"Silver","Q3"
"Jaguar",10700,"200000 ",2005,"Mussafah, Abu Dhabi",4,"Blue","X-Type"
"Renault",17000,"350000 ",2012,"Al Shamkha South, Abu Dhabi",4,"White","Safrane"
"BMW",91000,"85300 ",2014,"Abu Dhabi",4,"Blue","6-Series"
"Hyundai",106000,"54000 ",2020,"Saadiyat Island, Abu Dhabi",5,"Black","Palisade"
"BMW",285000,"1200 ",2022,"Mussafah, Abu Dhabi",2,"Green","4-Series"
"Hyundai",38000,"126000 ",2016,"Zayed City (Khalifa City C), Abu Dhabi",5,"White","H1"
"Nissan",34000,"126000 ",2016,"Zayed City (Khalifa City C), Abu Dhabi",4,"White","Navara"
"Toyota",44000,"115000 ",2015,"Mussafah, Abu Dhabi",5,"White","Previa"
"Mercedes-Benz",9800,"295000 ",2007,"Abu Dhabi",4,"Silver","R-Class"
"Toyota",115000,"92000 ",1988,"Abu Dhabi",4,"Grey","Land Cruiser"
"CMC",24000,"57142 ",2015,"Al Mushrif, Abu Dhabi",2,"White","Veryca"
"Toyota",24500,"127000 ",2013,"Rabdan, Abu Dhabi",4,"White","Corolla"
"Nissan",65000,"120800 ",2018,"Airport Street, Abu Dhabi",5,"Red","X-Trail"
"Nissan",22000,"175000 ",2008,"Zayed City (Khalifa City C), Abu Dhabi",5,"White","Pathfinder"
"BMW",620000,"750 ",2023,"Abu Dhabi",4,"Blue","7-Series"
"Infiniti",50500,"141000 ",2014,"Al Danah, Abu Dhabi",5,"White","QX60"
"Lexus",240000,"159555 ",2016,"Abu Dhabi",4,"White","LX-Series"
"Toyota",69500,"422000 ",2008,"Al Shawamekh, Abu Dhabi",4,"Silver","Land Cruiser"
"Toyota",56000,"181000 ",2020,"Al Shawamekh, Abu Dhabi",4,"White","Rush"
"Hyundai",32500,"195000 ",2016,"Abu Dhabi",4,"Silver","Elantra"
"BMW",49000,"218000 ",2013,"Mussafah, Abu Dhabi",5,"Gold","X5"
"Infiniti",35000,"179000 ",2012,"Al Reem Island, Abu Dhabi",4,"Black","FX45/FX35"
"Ford",12000,"118000 ",2007,"Al Manaseer, Abu Dhabi",4,"Grey","Mondeo"
"Honda",49002,"57000 ",2019,"Al Karamah, Abu Dhabi",4,"White","Civic"
"Land Rover",175000,"181000 ",2016,"Mohammed Bin Zayed City, Abu Dhabi",4,"White","Range Rover"
"Volkswagen",36500,"147000 ",2013,"Rawdhat Abu Dhabi, Abu Dhabi",5,"Grey","Touareg"
"MINI",105000,"96000 ",2020,"Al Bateen, Abu Dhabi",2,"Red","Cooper"
"Toyota",31000,"108000 ",2015,"Abu Dhabi",5,"Other Color","Corolla"
"Nissan",40500,"10742 ",2020,"Mussafah, Abu Dhabi",5,"White","Sentra"
"Hyundai",28500,"126000 ",2017,"Tourist Club Area (TCA), Abu Dhabi",3,"Silver","Veloster"
"Ford",29000,"134000 ",2016,"Al Shawamekh, Abu Dhabi",4,"Silver","Ecosport"
"Volkswagen",35000,"230 ",2014,"Al Khalidiyah, Abu Dhabi",2,"White","Caddy"
"Toyota",28000,"300000 ",2004,"Al Shawamekh, Abu Dhabi",4,"Grey","Tundra"
"Lexus",30000,"237000 ",2011,"Al Shawamekh, Abu Dhabi",4,"Black","ES-Series"
"Tesla",190000,"56000 ",2021,"Khalifa City A, Abu Dhabi",4,"Black","Model 3"
"Ford",140000,"200000 ",2019,"Al Shamkha South, Abu Dhabi",5,"Grey","Expedition"
"Toyota",39500,"19700 ",2015,"Mohammed Bin Zayed City, Abu Dhabi",2,"White","86"
"Nissan",189000,"23500 ",2021,"Danet Abu Dhabi, Abu Dhabi",4,"Silver","Patrol"
"Mitsubishi",19499,"221500 ",2009,"Abu Dhabi",5,"Other Color","Pajero"
"Toyota",38000,"330000 ",2007,"Al Falah Street, Abu Dhabi",5,"Gold","Prado"
"Mercedes-Benz",529000,"48000 ",2018,"Shakhbout City (Khalifa City B), Abu Dhabi",2,"Grey","GT"
"Lexus",60000,"72000 ",2016,"Mohammed Bin Zayed City, Abu Dhabi",4,"White","IS300"
"Nissan",35500,"19700 ",2020,"Abu Dhabi",4,"White","Micra"
"Audi",680000,"3000 ",2023,"Al Reem Island, Abu Dhabi",2,"Red","R8"
"Nissan",33333,"103000 ",2013,"Al Mushrif, Abu Dhabi",2,"Red","Altima"
"Ford",38000,"95000 ",2014,"Abu Dhabi",4,"Grey","Edge"
"Porsche",370000,"51000 ",2014,"Al Maryah Island, Abu Dhabi",2,"White","Carrera / 911"
"Nissan",23000,"250000 ",2009,"Mussafah, Abu Dhabi",4,"Silver","Navara"
"Hyundai",32000,"142 ",2015,"Zayed City (Khalifa City C), Abu Dhabi",3,"Red","Veloster"
"Renault",34900,"86087 ",2020,"Al Matar, Abu Dhabi",4,"Grey","Symbol"
"Chevrolet",25000,"168884 ",2013,"Al Reem Island, Abu Dhabi",4,"Brown","Cruze"
"Hyundai",89900,"75714 ",2019,"Al Matar, Abu Dhabi",5,"Grey","Santa Fe"
"Cadillac",453000,"8500 ",2022,"Abu Dhabi",5,"Black","Escalade"
"Peugeot",47900,"81826 ",2019,"Al Matar, Abu Dhabi",4,"Grey","208 GT LINE"
"Toyota",47900,"85330 ",2019,"Al Matar, Abu Dhabi",4,"Brown","Yaris"
"MG",79900,"21593 ",2022,"Al Matar, Abu Dhabi",4,"Red","MG6"
"Toyota",104500,"22252 ",2020,"Mussafah, Abu Dhabi",5,"White","Fortuner"
"Toyota",106000,"0 ",2021,"Al Shawamekh, Abu Dhabi",4,"White","C-HR"
"Land Rover",939000,"0 ",2023,"Al Shawamekh, Abu Dhabi",4,"Red","Range Rover Sport"
"Mercedes-Benz",118000,"153000 ",2015,"Al Shawamekh, Abu Dhabi",4,"White","GL-Class"
"Volkswagen",145000,"0 ",2021,"Al Shawamekh, Abu Dhabi",4,"Blue","ID.4"
"Mercedes-Benz",118000,"144000 ",2019,"Al Shawamekh, Abu Dhabi",4,"Black","E-Class"
"Toyota",69000,"170 ",2016,"Abu Dhabi",5,"Black","Rav 4"
"Jeep",159500,"71000 ",2020,"Al Reem Island, Abu Dhabi",4,"White","Gladiator"
"Mercedes-Benz",27000,"179000 ",2010,"Baniyas, Abu Dhabi",4,"White","C-Class"
"Nissan",125000,"135858 ",2019,"Abu Dhabi",4,"White","Patrol"
"Ford",77500,"130000 ",2016,"Abu Dhabi",2,"Black","Mustang"
"BMW",218000,"42500 ",2017,"Al Karamah, Abu Dhabi",4,"Other Color","7-Series"
"Mercedes-Benz",179000,"46000 ",2018,"Al Karamah, Abu Dhabi",2,"White","C-Class"
"Mercedes-Benz",119000,"113000 ",2016,"Al Karamah, Abu Dhabi",5,"Grey","GLC"
"Mercedes-Benz",285000,"28500 ",2021,"Al Karamah, Abu Dhabi",4,"Grey","E-Class"
"Audi",190000,"76000 ",2018,"Al Karamah, Abu Dhabi",5,"Black","Q7"
"Nissan",29000,"196000 ",2018,"Zayed City (Khalifa City C), Abu Dhabi",4,"Silver","Altima"
"BMW",115000,"115000 ",2015,"Al Shawamekh, Abu Dhabi",4,"Silver","6-Series"
"BMW",379000,"24000 ",2022,"Al Shawamekh, Abu Dhabi",4,"Grey","X5"
"BMW",440000,"11000 ",2022,"Al Shawamekh, Abu Dhabi",4,"Black","X6"
"Lexus",155000,"21502 ",2019,"Tourist Club Area (TCA), Abu Dhabi",4,"White","NX 300"
"Audi",389000,"10000 ",2022,"Mussafah, Abu Dhabi",4,"Black","Q8"
"Audi",231000,"10000 ",2023,"Mussafah, Abu Dhabi",4,"White","Q3"
"Audi",479000,"10000 ",2022,"Mussafah, Abu Dhabi",4,"Grey","A8"
"Audi",395000,"10000 ",2023,"Mussafah, Abu Dhabi",4,"Grey","e-tron"
"Audi",195000,"10000 ",2023,"Mussafah, Abu Dhabi",4,"Black","A4"
"Audi",195000,"10000 ",2023,"Mussafah, Abu Dhabi",4,"Blue","A4"
"Audi",239000,"10000 ",2023,"Mussafah, Abu Dhabi",4,"White","A5"
"Audi",239000,"10000 ",2023,"Mussafah, Abu Dhabi",4,"White","A6"
"Audi",495000,"10000 ",2022,"Mussafah, Abu Dhabi",4,"Beige","Q8"
"Audi",627000,"10000 ",2022,"Mussafah, Abu Dhabi",4,"Black","Q8"
"Audi",197000,"10000 ",2023,"Mussafah, Abu Dhabi",4,"White","A4"
"Audi",480000,"10000 ",2023,"Mussafah, Abu Dhabi",4,"Black","Q7"
"Audi",239000,"10000 ",2023,"Mussafah, Abu Dhabi",4,"Grey","A6"
"Audi",444000,"10000 ",2022,"Mussafah, Abu Dhabi",4,"Black","A8"
"Audi",349000,"10000 ",2022,"Mussafah, Abu Dhabi",4,"White","Q7"
"Audi",419000,"32000 ",2020,"Mussafah, Abu Dhabi",4,"White","S8"
"Audi",398000,"10500 ",2022,"Mussafah, Abu Dhabi",4,"White","Q8"
"Audi",519000,"410 ",2022,"Mussafah, Abu Dhabi",4,"Black","A8"
"Audi",307000,"9561 ",2022,"Mussafah, Abu Dhabi",4,"White","A7"
"Audi",245000,"69500 ",2019,"Mussafah, Abu Dhabi",4,"Black","A8"
"Audi",475000,"10000 ",2022,"Mussafah, Abu Dhabi",4,"Blue","Q8"
"GMC",106000,"211000 ",2018,"Al Shawamekh, Abu Dhabi",4,"Silver","Sierra"
"BMW",59000,"170000 ",2014,"Al Shawamekh, Abu Dhabi",4,"White","7-Series"
"Toyota",44000,"200000 ",2012,"Airport Street, Abu Dhabi",4,"White","Fortuner"
"BMW",340000,"1500 ",2023,"Al Bateen, Abu Dhabi",4,"Blue","X5"
"BMW",340000,"3500 ",2023,"Al Bateen, Abu Dhabi",4,"Grey","X5"
"Hyundai",89000,"45000 ",2020,"Al Reem Island, Abu Dhabi",5,"Silver","Tucson"
"Mercedes-Benz",67000,"84350 ",2016,"Zayed City (Khalifa City C), Abu Dhabi",2,"White","E-Class"
"GMC",125000,"57000 ",2020,"Al Shawamekh, Abu Dhabi",2,"Grey","Sierra"
"Honda",24000,"291000 ",2010,"Abu Dhabi",4,"White","CR-V"
"Jeep",190000,"10000 ",2020,"Abu Dhabi",4,"Grey","Gladiator"
"Lamborghini",989999,"11300 ",2018,"Abu Dhabi",2,"Yellow","Huracan"
"Lexus",15000,"427487 ",2007,"Mohammed Bin Zayed City, Abu Dhabi",4,"Black","ES-Series"
"BMW",39500,"138300 ",2012,"Al Markaziya, Abu Dhabi",4,"Grey","5-Series"
"Mercedes-Benz",112500,"48500 ",2019,"Al Maryah Island, Abu Dhabi",5,"Silver","A-Class"
"Audi",68000,"2190220 ",2015,"Abu Dhabi",4,"White","A7"
"Toyota",380000,"23000 ",2022,"Airport Street, Abu Dhabi",4,"Black","Land Cruiser"
"Volkswagen",98000,"144000 ",2018,"Al Shamkha, Abu Dhabi",4,"Grey","Golf R"
"Kia",24500,"90000 ",2012,"Al Muroor, Abu Dhabi",4,"Red","Rio"
"Suzuki",78000,"22009 ",2022,"Zayed City (Khalifa City C), Abu Dhabi",2,"Black","Jimny"
"Land Rover",299000,"109000 ",2019,"Al Shawamekh, Abu Dhabi",4,"Gold","Range Rover"
"Land Rover",430000,"0 ",2022,"Al Shawamekh, Abu Dhabi",4,"Black","Defender"
"Jeep",32500,"165234 ",2008,"Al Mushrif, Abu Dhabi",2,"Silver","Wrangler"
"Toyota",315000,"19000 ",2021,"Al Shamkha, Abu Dhabi",4,"White","Land Cruiser"
"Kia",33000,"233000 ",2014,"Al Shamkha, Abu Dhabi",4,"White","Sportage"
"Toyota",158000,"46000 ",2021,"Al Shamkha, Abu Dhabi",4,"White","Prado"
"Lexus",55000,"112000 ",2014,"Al Shamkha, Abu Dhabi",4,"Burgundy","GS-Series"
"BMW",149000,"111000 ",2018,"Al Shawamekh, Abu Dhabi",4,"White","7-Series"
"Mercedes-Benz",245000,"39000 ",2016,"Al Shamkha, Abu Dhabi",4,"Black","GLE-Class"
"Mercedes-Benz",143000,"91000 ",2019,"Al Shamkha, Abu Dhabi",4,"White","E-Class"
"Ford",25000,"220000 ",2015,"Al Shamkha, Abu Dhabi",4,"Silver","Escape"
"Ford",68000,"86000 ",2016,"Al Shamkha, Abu Dhabi",2,"Burgundy","Mustang"
"Toyota",215000,"0 ",2022,"Al Shamkha, Abu Dhabi",4,"Grey","Highlander"
"GMC",142000,"79000 ",2020,"Abu Dhabi",2,"Grey","Sierra"
"Dodge",72000,"135000 ",2018,"Abu Dhabi",4,"White","Charger"
"Rolls Royce",975000,"53000 ",2019,"Al Shamkha, Abu Dhabi",2,"Blue","Wraith"
"Ferrari",359000,"50000 ",2012,"Abu Dhabi",2,"Red","California"
"Honda",21000,"275000 ",2013,"Abu Dhabi",4,"White","City"
"Toyota",106000,"13000 ",2022,"Al Shawamekh, Abu Dhabi",4,"White","Hilux"
"Chevrolet",20000,"276000 ",2014,"Abu Dhabi",4,"Grey","Impala"
"Nissan",305000,"25000 ",2021,"Abu Dhabi",5,"Black","Patrol"
"Toyota",68000,"59000 ",2018,"Al Shawamekh, Abu Dhabi",4,"White","Hilux"
"BMW",29000,"130000 ",2013,"Al Bahia, Abu Dhabi",5,"White","1-Series"
"Toyota",320000,"0 ",2021,"Al Shawamekh, Abu Dhabi",5,"White","Land Cruiser"
"Toyota",140000,"0 ",2019,"Al Shawamekh, Abu Dhabi",2,"White","Land Crusier 70"
"Toyota",140000,"0 ",2017,"Al Shawamekh, Abu Dhabi",2,"Gold","Land Crusier 70"
"Toyota",167000,"0 ",2022,"Al Shawamekh, Abu Dhabi",2,"Beige","Land Crusier 70"
"Toyota",141000,"0 ",2022,"Al Shawamekh, Abu Dhabi",4,"White","Hilux"
"Toyota",155000,"0 ",2022,"Al Shawamekh, Abu Dhabi",2,"Beige","FJ Cruiser"
"Nissan",182000,"0 ",2022,"Al Shawamekh, Abu Dhabi",4,"Black","Patrol"
"Toyota",153000,"0 ",2022,"Al Shawamekh, Abu Dhabi",4,"White","Fortuner"
"Ford",69000,"141200 ",2016,"Al Bateen, Abu Dhabi",4,"White","Edge"
"GMC",139000,"112000 ",2016,"Al Reem Island, Abu Dhabi",4,"White","Yukon"
"Audi",44000,"157000 ",2013,"Mohammed Bin Zayed City, Abu Dhabi",4,"Grey","A6"
"Nissan",45000,"160541 ",2014,"Al Falah Street, Abu Dhabi",4,"Black","Pathfinder"
"Nissan",20000,"152000 ",2015,"Abu Dhabi",4,"Silver","Sunny"
"Jaguar",48000,"101000 ",2015,"Abu Dhabi",4,"Red","XF"
"Kia",32000,"140000 ",2016,"Al Mushrif, Abu Dhabi",5,"Grey","Soul"
"Ford",25000,"80000 ",2014,"Abu Dhabi",5,"Grey","Ecosport"
"GMC",75000,"216202 ",2015,"Abu Dhabi",2,"Black","Sierra"
"Kia",48500,"19000 ",2021,"Madinat Zayed, Abu Dhabi",5,"Blue","Seltos"
"Lexus",615000,"17000 ",2022,"Al Shawamekh, Abu Dhabi",4,"Other Color","LX600"
"Audi",545000,"26000 ",2021,"Al Shawamekh, Abu Dhabi",4,"Black","S7/RS7"
"Mercedes-Benz",559000,"17000 ",2021,"Al Shawamekh, Abu Dhabi",4,"White","S-Class"
"Mercedes-Benz",559000,"17000 ",2021,"Al Shawamekh, Abu Dhabi",4,"White","S-Class"
"Rolls Royce",1080000,"46000 ",2018,"Al Shawamekh, Abu Dhabi",2,"Black","Wraith"
"BMW",56000,"87000 ",2006,"Al Shawamekh, Abu Dhabi",4,"Silver","X5"
"BMW",14500,"128000 ",2008,"Baniyas, Abu Dhabi",2,"Blue","3-Series"
"Kia",55000,"118000 ",2018,"Zayed City (Khalifa City C), Abu Dhabi",5,"Silver","Mohave"
"Lexus",138000,"317000 ",2014,"Al Shawamekh, Abu Dhabi",4,"Gold","LX-Series"
"Toyota",125000,"20600 ",2014,"Al Shawamekh, Abu Dhabi",4,"White","Land Crusier 70"
"Mercedes-Benz",98000,"118000 ",2018,"Al Shawamekh, Abu Dhabi",4,"Black","C-Class"
"Mercedes-Benz",125000,"56000 ",2019,"Al Shawamekh, Abu Dhabi",4,"Black","C-Class"
"Kia",38000,"14000 ",2020,"Al Shawamekh, Abu Dhabi",4,"Black","Picanto"
"Volkswagen",130000,"45000 ",2019,"Corniche Area, Abu Dhabi",4,"White","Golf R"
"Honda",25000,"220500 ",2012,"Abu Dhabi",4,"Grey","Accord"
"Toyota",119000,"0 ",2023,"Al Reem Island, Abu Dhabi",4,"White","Camry"
"Toyota",163000,"320000 ",2016,"Abu Dhabi",4,"White","Land Cruiser"
"Nissan",135000,"208000 ",2017,"Abu Dhabi",4,"White","Patrol"
"Infiniti",13000,"300000 ",2008,"Zayed City (Khalifa City C), Abu Dhabi",4,"Black","FX45/FX35"
"MINI",30000,"170000 ",2013,"Al Mushrif, Abu Dhabi",2,"Orange","Roadster"
"Nissan",39800,"170500 ",2016,"Al Bahia, Abu Dhabi",4,"Grey","Maxima"
"Peugeot",25000,"160000 ",2017,"Abu Dhabi",2,"White","Partner"
"Chevrolet",55000,"48000 ",2021,"Al Nahyan, Abu Dhabi",4,"Grey","Trailblazer"
"Nissan",315000,"16000 ",2021,"Al Shawamekh, Abu Dhabi",4,"White","Patrol"
"Toyota",265000,"0 ",2022,"Al Shawamekh, Abu Dhabi",4,"White","Land Cruiser"
"Mercedes-Benz",148000,"166000 ",2015,"Al Shawamekh, Abu Dhabi",4,"Black","S-Class"
"Land Rover",415000,"28000 ",2022,"Shakhbout City (Khalifa City B), Abu Dhabi",2,"Black","Defender"
"Mercedes-Benz",129000,"138000 ",2017,"Abu Dhabi Airport Freezone (ADAFZ), Abu Dhabi",4,"White","GLE-Class"
