"make","price","mileage","year","location","doors","color","model"
"MINI",49000,"95000 ",2017,"Abu Dhabi",2,"Beige","Cooper"
"Nissan",36000,"134000 ",2015,"Al Mushrif, Abu Dhabi",5,"Black","Murano"
"Cadillac",22000,"203381 ",2013,"Al Muroor, Abu Dhabi",4,"Gold","ATS"
"Mercedes-Benz",111500,"98070 ",2015,"Al Muroor, Abu Dhabi",5,"Grey","GL-Class"
"Ford",22000,"210523 ",2013,"Al Muroor, Abu Dhabi",5,"Black","Escape"
"Nissan",90000,"190814 ",2015,"Al Muroor, Abu Dhabi",5,"Black","Patrol"
"Infiniti",75000,"105446 ",2015,"Al Muroor, Abu Dhabi",5,"Blue","QX70"
"Audi",58000,"144600 ",2014,"Abu Dhabi Gate City (Officers City), Abu Dhabi",4,"Grey","A7"
"Volkswagen",142000,"39849 ",2019,"Al Muroor, Abu Dhabi",5,"White","Golf R"
"Nissan",43000,"151217 ",2013,"Al Muroor, Abu Dhabi",2,"Silver","370z"
"BMW",178000,"152932 ",2017,"Al Muroor, Abu Dhabi",4,"White","7-Series"
"BMW",223000,"102583 ",2017,"Al Muroor, Abu Dhabi",4,"Blue","7-Series"
"Toyota",123000,"126740 ",2017,"Al Muroor, Abu Dhabi",5,"White","Prado"
"Land Rover",152000,"155642 ",2016,"Al Muroor, Abu Dhabi",5,"White","Range Rover Sport"
"Nissan",175000,"60498 ",2016,"Al Muroor, Abu Dhabi",5,"Grey","Patrol"
"Ford",55000,"134622 ",2016,"Al Muroor, Abu Dhabi",5,"White","Edge"
"Infiniti",39500,"212927 ",2014,"Al Muroor, Abu Dhabi",5,"White","QX60"
"Chevrolet",55000,"129412 ",2014,"Al Muroor, Abu Dhabi",2,"Blue","Camaro"
"Mercedes-Benz",150000,"112076 ",2019,"Al Muroor, Abu Dhabi",4,"White","C-Class"
"Toyota",35000,"220000 ",2011,"Al Dhafrah, Abu Dhabi",5,"White","Rav 4"
"Ford",35000,"160000 ",2013,"Al Nahyan, Abu Dhabi",5,"White","Expedition"
"Land Rover",42000,"212570 ",2012,"Al Muroor, Abu Dhabi",5,"White","Range Rover Sport"
"Dodge",78000,"102908 ",2017,"Al Muroor, Abu Dhabi",5,"Black","Durango"
"Nissan",80000,"179845 ",2014,"Al Muroor, Abu Dhabi",5,"Burgundy","Patrol"
"Toyota",175000,"101103 ",2017,"Al Muroor, Abu Dhabi",5,"Grey","Land Cruiser"
"Infiniti",67000,"158530 ",2017,"Al Muroor, Abu Dhabi",5,"Red","QX50"
"Infiniti",18000,"242703 ",2009,"Al Muroor, Abu Dhabi",5,"Black","FX50"
"Porsche",87500,"162494 ",2013,"Al Muroor, Abu Dhabi",4,"Black","Panamera"
"Tesla",215000,"70229 ",2021,"Al Muroor, Abu Dhabi",4,"White","Model 3"
"Toyota",85000,"108724 ",2015,"Al Muroor, Abu Dhabi",5,"Yellow","FJ Cruiser"
"Maserati",110000,"109458 ",2016,"Al Muroor, Abu Dhabi",4,"Blue","Ghibli"
"Mercedes-Benz",180000,"163427 ",2018,"Al Muroor, Abu Dhabi",2,"White","E-Class Coupe"
"Land Rover",248500,"55947 ",2019,"Al Muroor, Abu Dhabi",5,"Gold","Range Rover Velar"
"Nissan",185000,"140582 ",2020,"Al Muroor, Abu Dhabi",5,"Black","Patrol"
"BMW",43000,"161746 ",2012,"Al Muroor, Abu Dhabi",5,"White","X5"
"Audi",78000,"124240 ",2016,"Al Muroor, Abu Dhabi",4,"Red","S3/RS3"
"Ford",28000,"146569 ",2015,"Al Muroor, Abu Dhabi",5,"Red","Escape"
"Kia",70000,"188645 ",2017,"Al Muroor, Abu Dhabi",5,"Grey","Sportage"
"Mitsubishi",19500,"196996 ",2008,"Al Muroor, Abu Dhabi",5,"White","Pajero"
"Dodge",80000,"86579 ",2018,"Al Muroor, Abu Dhabi",4,"Grey","Charger"
"BMW",147000,"64311 ",2017,"Al Muroor, Abu Dhabi",4,"Silver","5-Series"
"Nissan",115000,"136000 ",2016,"Al Zaab, Abu Dhabi",4,"White","Patrol"
"MINI",192500,"10 ",2023,"Al Bateen, Abu Dhabi",4,"Grey","Countryman"
"BMW",375000,"300 ",2023,"Al Bateen, Abu Dhabi",4,"White","X5"
"BMW",145000,"92000 ",2019,"Al Shawamekh, Abu Dhabi",4,"White","3-Series"
"Mercedes-Benz",269000,"100000 ",2017,"Al Shawamekh, Abu Dhabi",2,"Grey","S-Class"
"Ford",88000,"38000 ",2020,"Saadiyat Island, Abu Dhabi",2,"Silver","Mustang"
"Toyota",123000,"23000 ",2021,"Mussafah, Abu Dhabi",4,"White","Camry"
"Mercedes-Benz",60000,"90514 ",2014,"Mohammed Bin Zayed City, Abu Dhabi",4,"White","CLS-Class"
"Nissan",49000,"128000 ",2015,"Zayed City (Khalifa City C), Abu Dhabi",5,"White","X-Trail"
"Land Rover",215000,"81000 ",2009,"Zayed City (Khalifa City C), Abu Dhabi",2,"Black","Defender"
"Mercedes-Benz",725000,"68000 ",2020,"Abu Dhabi",4,"White","G-Class"
"Dodge",160000,"118000 ",2015,"Rabdan, Abu Dhabi",2,"Black","Challenger"
"Renault",29000,"26000 ",2015,"Abu Dhabi",4,"Silver","Duster"
"Kia",16000,"400000 ",2007,"Al Zahraa, Abu Dhabi",4,"Brown","Sportage"
"Nissan",88000,"45000 ",2016,"Abu Dhabi",4,"Tan","Patrol"
"Volkswagen",149000,"0 ",2022,"Al Shawamekh, Abu Dhabi",4,"Blue","ID.6"
"Mercedes-Benz",37000,"231500 ",2012,"Zayed City (Khalifa City C), Abu Dhabi",4,"Red","C-Class"
"Hyundai",129500,"11000 ",2022,"Al Reem Island, Abu Dhabi",5,"Grey","Tucson"
"Lexus",43000,"113893 ",2004,"Mohammed Bin Zayed City, Abu Dhabi",4,"Black","LS-Series"
"Tesla",219000,"9000 ",2021,"Al Shawamekh, Abu Dhabi",4,"Black","Model 3"
"Land Rover",135000,"221000 ",2014,"Al Shawamekh, Abu Dhabi",4,"White","Range Rover Sport"
"Land Rover",119000,"96000 ",2019,"Al Shawamekh, Abu Dhabi",4,"Black","Range Rover Evoque"
"Lexus",129000,"60000 ",2018,"Al Shawamekh, Abu Dhabi",4,"Black","NX 300"
"Chevrolet",85000,"65000 ",2018,"Al Shawamekh, Abu Dhabi",4,"Silver","Traverse"
